stcd,population,seat_counter,multiplier,priority,pop_pct,year,quota,quota_v_seats
AL,2832961,9,0.105409255,298620.3094,2.162463567,1940,9.406716518,-0.406716518
AR,1949387,6,0.15430335,300796.9445,1.488011436,1940,6.472849747,-0.472849747
AZ,499261,2,0.40824829,203822.4497,0.381097277,1940,1.657773155,0.342226845
CA,6907387,23,0.042562827,293997.9147,5.272565607,1940,22.93566039,0.064339612
CO,1123296,4,0.223606798,251176.6215,0.857437386,1940,3.72985263,0.27014737
CT,1709242,6,0.15430335,263741.7665,1.304703296,1940,5.675459336,0.324540664
DE,266505,1,0.707106781,188447.4927,0.203429328,1940,0.884917578,0.115082422
FL,1897414,6,0.15430335,292777.3365,1.448339263,1940,6.300275795,-0.300275795
GA,3123723,10,0.095346259,297835.302,2.384408815,1940,10.37217835,-0.372178347
IA,2538268,8,0.11785113,299137.7525,1.937517698,1940,8.428201985,-0.428201985
ID,524873,2,0.40824829,214278.505,0.400647499,1940,1.742816622,0.257183378
IL,7897241,26,0.037742568,298062.1539,6.028143679,1940,26.222425,-0.222425004
IN,3427796,11,0.087038828,298351.3464,2.616514652,1940,11.38183874,-0.381838738
KS,1801028,6,0.15430335,277904.6538,1.374765637,1940,5.980230521,0.019769479
KY,2845627,9,0.105409255,299955.423,2.172131813,1940,9.448773388,-0.448773388
LA,2363880,8,0.11785113,278585.9297,1.804403371,1940,7.849154663,0.150845337
MA,4316721,14,0.069006556,297882.0491,3.295051324,1940,14.33347326,-0.333473258
MD,1821244,6,0.15430335,281024.0503,1.39019697,1940,6.047356818,-0.047356818
ME,847226,3,0.288675135,244573.0796,0.646706876,1940,2.813174911,0.186825089
MI,5256106,17,0.057166195,300471.5808,4.012105261,1940,17.45265788,-0.452657884
MN,2792300,9,0.105409255,294334.2637,2.131426101,1940,9.27170354,-0.27170354
MO,3784664,13,0.074124932,280537.9604,2.888920114,1940,12.5668025,0.433197505
MS,2183796,7,0.133630621,291822.0155,1.666941158,1940,7.251194035,-0.251194035
MT,559456,2,0.40824829,228396.9556,0.42704549,1940,1.85764788,0.14235212
NC,3571623,12,0.080064077,285958.6985,2.726301073,1940,11.85940967,0.140590333
ND,641935,2,0.40824829,262068.8663,0.490003586,1940,2.131515601,-0.131515601
NE,1315834,4,0.223606798,294229.4271,1.004406021,1940,4.369166191,-0.369166191
NH,491524,2,0.40824829,200663.8327,0.375191449,1940,1.632082803,0.367917197
NJ,4160165,14,0.069006556,287078.6588,3.175548568,1940,13.81363627,0.186363729
NM,531818,2,0.40824829,217113.7893,0.405948776,1940,1.765877174,0.234122826
NV,110247,1,0.707106781,77956.40131,0.084154043,1940,0.366070086,0.633929914
NY,13479142,44,0.022473329,302921.1894,10.28893567,1940,44.75687018,-0.75687018
OH,6907612,23,0.042562827,294007.4913,5.272737354,1940,22.93640749,0.063592509
OK,2336434,8,0.11785113,275351.3875,1.783453215,1940,7.758021484,0.241978516
OR,1089684,4,0.223606798,243660.7498,0.831780582,1940,3.618245533,0.381754467
PA,9900180,33,0.029854072,295560.6836,7.557032575,1940,32.8730917,0.126908299
RI,713346,2,0.40824829,291222.285,0.544513227,1940,2.368632537,-0.368632537
SC,1899804,6,0.15430335,293146.1215,1.450163604,1940,6.30821168,-0.30821168
SD,642961,2,0.40824829,262487.7291,0.490786756,1940,2.134922387,-0.134922387
TN,2915841,10,0.095346259,278014.531,2.225727756,1940,9.681915741,0.318084259
TX,6414824,21,0.046524211,298444.6222,4.896581065,1940,21.30012763,-0.300127634
UT,550310,2,0.40824829,224663.1167,0.42006414,1940,1.827279008,0.172720992
VA,2677773,9,0.105409255,282262.0579,2.044005037,1940,8.891421912,0.108578088
VT,359231,1,0.707106781,254014.6761,0.274209193,1940,1.19280999,-0.19280999
WA,1736191,6,0.15430335,267900.0875,1.32527408,1940,5.764942249,0.235057751
WI,3137587,10,0.095346259,299157.1825,2.394991522,1940,10.41821312,-0.41821312
WV,1901974,6,0.15430335,293480.9597,1.451820015,1940,6.315417065,-0.315417065
WY,250742,1,0.707106781,177301.3685,0.191397072,1940,0.832577262,0.167422738
,,433,,,,,,
