stcd,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
AK,0,0,0,0,226167,304067,400481,551947,628933,721523,736081
AL,2348174,2646248,2832961,3061743,3266740,3475885,3890061,4062608,4461130,4802982,5030053
AR,1752204,1854482,1949387,1909511,1786272,1942303,2285513,2362239,2679733,2926229,3013756
AZ,334162,435573,499261,749587,1302161,1787620,2717866,3677985,5140683,6412700,7158923
CA,3426861,5677251,6907387,10586223,15717204,20098863,23668562,29839250,33930798,37341989,39576757
CO,939629,1035791,1123296,1325089,1753947,2226771,2888834,3307912,4311882,5044930,5782171
CT,1380631,1606903,1709242,2007280,2535234,3050693,3107576,3295669,3409535,3581628,3608298
DE,223003,238380,266505,318085,446292,551928,595225,668696,785068,900877,990837
FL,968470,1468211,1897414,2771305,4951560,6855702,9739992,13003362,16028890,18900773,21570527
GA,2895832,2908506,3123723,3444578,3943116,4627306,5464265,6508419,8206975,9727566,10725274
HI,0,0,0,0,632772,784901,965000,1115274,1216642,1366862,1460137
IA,2404021,2470939,2538268,2621073,2757537,2846920,2913387,2787424,2931923,3053787,3192406
ID,431866,445032,524873,588637,667191,719921,943935,1011986,1297274,1573499,1841377
IL,6485280,7630654,7897241,8712176,10081158,11184320,11418461,11466682,12439042,12864380,12822739
IN,2930390,3238503,3427796,3934224,4662498,5228156,5490179,5564228,6090782,6501582,6790280
KS,1769257,1880999,1801028,1905299,2178611,2265846,2363208,2485600,2693824,2863813,2940865
KY,2416630,2614589,2845627,2944806,3038156,3246481,3661433,3698969,4049431,4350606,4509342
LA,1798509,2101593,2363880,2683516,3257022,3672008,4203972,4238216,4480271,4553962,4661468
MA,3852356,4249614,4316721,4690514,5148578,5726676,5737037,6029051,6355568,6559644,7033469
MD,1449661,1631526,1821244,2343001,3100689,3953698,4216446,4798622,5307886,5789929,6185278
ME,768014,797423,847226,913774,969265,1006320,1124660,1233223,1277731,1333074,1363582
MI,3668412,4842325,5256106,6371766,7823194,8937196,9258344,9328784,9955829,9911626,10084442
MN,2387125,2563953,2792300,2982483,3413864,3833173,4077148,4387029,4925670,5314879,5709752
MO,3404055,3629367,3784664,3954653,4319813,4718034,4917444,5137804,5606260,6011478,6160281
MS,1790618,2009821,2183796,2178914,2178141,2233848,2520638,2586443,2852927,2978240,2963914
MT,548889,537606,559456,591024,674767,701573,786690,803655,905316,994416,1085407
NC,2559123,3170276,3571623,4061929,4556155,5125230,5874429,6657630,8067673,9565781,10453948
ND,646872,680845,641935,619636,632446,624181,652695,641364,643756,675905,779702
NE,1296372,1377963,1315834,1325510,1411330,1496820,1570006,1584617,1715369,1831825,1963333
NH,443083,465293,491524,533242,606921,746284,920610,1113915,1238415,1321445,1379089
NJ,3155900,4041334,4160165,4835329,6066782,7208035,7364158,7748634,8424354,8807501,9294493
NM,360350,423317,531818,681187,951023,1026664,1299968,1521779,1823821,2067273,2120220
NV,77407,91058,110247,160083,285278,492396,799184,1206152,2002032,2709432,3108462
NY,10385227,12588066,13479142,14830192,16782304,18287529,17557288,18044505,19004973,19421055,20215751
OH,5759394,6646697,6907612,7946627,9706397,10730200,10797419,10887325,11374540,11568495,11808848
OK,2028283,2396040,2336434,2233351,2328284,2585486,3025266,3157604,3458819,3764882,3963516
OR,783389,953786,1089684,1521341,1768687,2110810,2632663,2853733,3428543,3848606,4241500
PA,8720017,9631350,9900180,10498012,11319366,11884314,11866728,11924710,12300670,12734905,13011844
RI,604397,687497,713346,791896,859488,957798,947154,1005984,1049662,1055247,1098163
SC,1683724,1738765,1899804,2117027,2382594,2617320,3119208,3505707,4025061,4645975,5124712
SD,636547,692849,642961,652740,680514,673247,690178,699999,756874,819761,887770
TN,2337885,2616556,2915841,3291718,3567089,3961060,4590750,4896641,5700037,6375431,6916897
TX,4663228,5824715,6414824,7711194,9579677,11298787,14228283,17059805,20903994,25268418,29183290
UT,449396,507847,550310,688862,890627,1067810,1461037,1727784,2236714,2770765,3275252
VA,2309187,2421851,2677773,3318680,3966949,4690742,5346279,6216568,7100702,8037736,8654542
VT,352428,359611,359231,377747,389881,448327,511456,564964,609890,630337,643503
WA,1356621,1563396,1736191,2378963,2853214,3443487,4130163,4887941,5908684,6753369,7715946
WI,2632067,2939006,3137587,3434575,3951777,4447013,4705335,4906745,5371210,5698230,5897473
WV,1463701,1729205,1901974,2005552,1860421,1763331,1949644,1801625,1813077,1859815,1795045
WY,194402,225565,250742,290529,330066,335719,470816,455975,495304,568300,577719
